avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  124 | POS_X POS_Y : (8,1)
apres : line->pos :  124 | POS_X POS_Y : (8,1)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  120 | POS_X POS_Y : (4,1)
apres : line->pos :  120 | POS_X POS_Y : (4,1)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  119 | POS_X POS_Y : (3,1)
apres : line->pos :  119 | POS_X POS_Y : (3,1)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  115 | POS_X POS_Y : (117,0)
apres : line->pos :  115 | POS_X POS_Y : (117,0)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  124 | POS_X POS_Y : (8,1)
apres : line->pos :  124 | POS_X POS_Y : (8,1)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  120 | POS_X POS_Y : (4,1)
apres : line->pos :  120 | POS_X POS_Y : (4,1)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  119 | POS_X POS_Y : (3,1)
apres : line->pos :  119 | POS_X POS_Y : (3,1)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  115 | POS_X POS_Y : (117,0)
apres : line->pos :  115 | POS_X POS_Y : (117,0)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  124 | POS_X POS_Y : (8,1)
apres : line->pos :  124 | POS_X POS_Y : (8,1)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  120 | POS_X POS_Y : (4,1)
apres : line->pos :  120 | POS_X POS_Y : (4,1)
avant : line->pos :  114 | POS_X POS_Y : (116,0)
milieu : line->pos :  114 | POS_X POS_Y : (116,0)
milieu2 : line->pos :  119 | POS_X POS_Y : (3,1)
apres : line->pos :  119 | POS_X POS_Y : (3,1)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
apres : line->pos :   13 | POS_X POS_Y : (15,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    9 | POS_X POS_Y : (11,0)
apres : line->pos :    9 | POS_X POS_Y : (11,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    8 | POS_X POS_Y : (10,0)
apres : line->pos :    8 | POS_X POS_Y : (10,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    4 | POS_X POS_Y : (6,0)
apres : line->pos :    4 | POS_X POS_Y : (6,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
apres : line->pos :   13 | POS_X POS_Y : (15,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    9 | POS_X POS_Y : (11,0)
apres : line->pos :    9 | POS_X POS_Y : (11,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    8 | POS_X POS_Y : (10,0)
apres : line->pos :    8 | POS_X POS_Y : (10,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    4 | POS_X POS_Y : (6,0)
apres : line->pos :    4 | POS_X POS_Y : (6,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
apres : line->pos :   13 | POS_X POS_Y : (15,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    9 | POS_X POS_Y : (11,0)
apres : line->pos :    9 | POS_X POS_Y : (11,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    8 | POS_X POS_Y : (10,0)
apres : line->pos :    8 | POS_X POS_Y : (10,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    4 | POS_X POS_Y : (6,0)
apres : line->pos :    4 | POS_X POS_Y : (6,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
apres : line->pos :   13 | POS_X POS_Y : (15,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    9 | POS_X POS_Y : (11,0)
apres : line->pos :    9 | POS_X POS_Y : (11,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    8 | POS_X POS_Y : (10,0)
apres : line->pos :    8 | POS_X POS_Y : (10,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    4 | POS_X POS_Y : (6,0)
apres : line->pos :    4 | POS_X POS_Y : (6,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
apres : line->pos :   13 | POS_X POS_Y : (15,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    9 | POS_X POS_Y : (11,0)
apres : line->pos :    9 | POS_X POS_Y : (11,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    8 | POS_X POS_Y : (10,0)
apres : line->pos :    8 | POS_X POS_Y : (10,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
apres : line->pos :   13 | POS_X POS_Y : (15,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    9 | POS_X POS_Y : (11,0)
apres : line->pos :    9 | POS_X POS_Y : (11,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    8 | POS_X POS_Y : (10,0)
apres : line->pos :    8 | POS_X POS_Y : (10,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    4 | POS_X POS_Y : (6,0)
apres : line->pos :    4 | POS_X POS_Y : (6,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
apres : line->pos :   13 | POS_X POS_Y : (15,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    9 | POS_X POS_Y : (11,0)
apres : line->pos :    9 | POS_X POS_Y : (11,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    8 | POS_X POS_Y : (10,0)
apres : line->pos :    8 | POS_X POS_Y : (10,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    4 | POS_X POS_Y : (6,0)
apres : line->pos :    4 | POS_X POS_Y : (6,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
apres : line->pos :   13 | POS_X POS_Y : (15,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    9 | POS_X POS_Y : (11,0)
apres : line->pos :    9 | POS_X POS_Y : (11,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    8 | POS_X POS_Y : (10,0)
apres : line->pos :    8 | POS_X POS_Y : (10,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :    4 | POS_X POS_Y : (6,0)
apres : line->pos :    4 | POS_X POS_Y : (6,0)
avant : line->pos :    3 | POS_X POS_Y : (5,0)
milieu : line->pos :    3 | POS_X POS_Y : (5,0)
milieu2 : line->pos :   13 | POS_X POS_Y : (15,0)
