line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    1 | POS_X POS_Y : (7,0)
line->pos :    0 | POS_X POS_Y : (1,0)
line->pos :    2 | POS_X POS_Y : (16,0)
line->pos :    2 | POS_X POS_Y : (16,0)
line->pos :    1 | POS_X POS_Y : (10,0)
line->pos :    0 | POS_X POS_Y : (4,0)
line->pos :    0 | POS_X POS_Y : (4,0)
line->pos :    2 | POS_X POS_Y : (16,0)
line->pos :    2 | POS_X POS_Y : (16,0)
line->pos :    1 | POS_X POS_Y : (10,0)
line->pos :    0 | POS_X POS_Y : (4,0)
line->pos :    0 | POS_X POS_Y : (4,0)
line->pos :    1 | POS_X POS_Y : (10,0)
line->pos :    0 | POS_X POS_Y : (4,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    2 | POS_X POS_Y : (23,0)
line->pos :    1 | POS_X POS_Y : (17,0)
line->pos :    0 | POS_X POS_Y : (11,0)
line->pos :    0 | POS_X POS_Y : (11,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    2 | POS_X POS_Y : (23,0)
line->pos :    1 | POS_X POS_Y : (17,0)
line->pos :    0 | POS_X POS_Y : (11,0)
line->pos :    0 | POS_X POS_Y : (11,0)
line->pos :    0 | POS_X POS_Y : (11,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    3 | POS_X POS_Y : (29,0)
line->pos :    1 | POS_X POS_Y : (8,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    2 | POS_X POS_Y : (19,0)
line->pos :    1 | POS_X POS_Y : (13,0)
line->pos :    0 | POS_X POS_Y : (7,0)
line->pos :    0 | POS_X POS_Y : (7,0)
line->pos :    2 | POS_X POS_Y : (19,0)
line->pos :    1 | POS_X POS_Y : (13,0)
line->pos :    0 | POS_X POS_Y : (7,0)
line->pos :    3 | POS_X POS_Y : (35,0)
line->pos :    3 | POS_X POS_Y : (35,0)
line->pos :    3 | POS_X POS_Y : (35,0)
line->pos :    3 | POS_X POS_Y : (35,0)
